cdl-code,cld-lable,anderson-code,anderson-label
0,NoData,0,
1,Corn,2,Ag
2,Cotton,2,Ag
3,Rice,2,Ag
4,Sorghum,2,Ag
5,Soybeans,2,Ag
6,Sunflower,2,Ag
7,,0,
8,,0,
9,,0,
10,Peanuts,2,Ag
11,Tobacco,2,Ag
12,Sweet_Corn,2,Ag
13,Pop_or_Orn_Corn,2,Ag
14,Mint,2,Ag
15,,0,
16,,0,
17,,0,
18,,0,
19,,0,
20,,0,
21,Barley,2,Ag
22,Durum_Wheat,2,Ag
23,Spring_Wheat,2,Ag
24,Winter_Wheat,2,Ag
25,Other_Small_Grains,2,Ag
26,Dbl_Crop_WinWht/Soybeans,2,Ag
27,Rye,2,Ag
28,Oats,2,Ag
29,Millet,2,Ag
30,Speltz,2,Ag
31,Canola,2,Ag
32,Flaxseed,2,Ag
33,Safflower,2,Ag
34,Rape_Seed,2,Ag
35,Mustard,2,Ag
36,Alfalfa,2,Ag
37,Other_Hay/Non_Alfalfa,2,Ag
38,Camelina,2,Ag
39,Buckwheat,2,Ag
40,,0,
41,Sugarbeets,2,Ag
42,Dry_Beans,2,Ag
43,Potatoes,2,Ag
44,Other_Crops,2,Ag
45,Sugarcane,2,Ag
46,Sweet_Potatoes,2,Ag
47,Misc_Vegs_&_Fruits,2,Ag
48,Watermelons,2,Ag
49,Onions,2,Ag
50,Cucumbers,2,Ag
51,Chick_Peas,2,Ag
52,Lentils,2,Ag
53,Peas,2,Ag
54,Tomatoes,2,Ag
55,Caneberries,2,Ag
56,Hops,2,Ag
57,Herbs,2,Ag
58,Clover/Wildflowers,2,Ag
59,Sod/Grass_Seed,2,Ag
60,Switchgrass,2,Ag
61,Fallow/Idle_Cropland,2,Ag
62,,0,
63,Forest,4,Forest
64,Shrubland,3,Rangeland
65,Barren,7,Barren
66,Cherries,2,Ag
67,Peaches,2,Ag
68,Apples,2,Ag
69,Grapes,2,Ag
70,Christmas_Trees,2,Ag
71,Other_Tree_Crops,2,Ag
72,Citrus,2,Ag
73,,0,
74,Pecans,2,Ag
75,Almonds,2,Ag
76,Walnuts,2,Ag
77,Pears,2,Ag
78,,0,
79,,0,
80,,0,
81,Clouds/No_Data,0,
82,Developed,1,Urban
83,Water,5,Water
84,,0,
85,,0,
86,,0,
87,Wetlands,6,Wetland
88,Nonag/Undefined,0,
89,,0,
90,,0,
91,,0,
92,Aquaculture,2,Ag
93,,0,
94,,0,
95,,0,
96,,0,
97,,0,
98,,0,
99,,0,
100,,0,
101,,0,
102,,0,
103,,0,
104,,0,
105,,0,
106,,0,
107,,0,
108,,0,
109,,0,
110,,0,
111,Open_Water,5,Water
112,Perennial_Ice/Snow_,9,Snow
113,,0,
114,,0,
115,,0,
116,,0,
117,,0,
118,,0,
119,,0,
120,,0,
121,Developed/Open_Space,1,Urban
122,Developed/Low_Intensity,1,Urban
123,Developed/Med_Intensity,1,Urban
124,Developed/High_Intensity,1,Urban
125,,0,
126,,0,
127,,0,
128,,0,
129,,0,
130,,0,
131,Barren,7,Barren
132,,0,
133,,0,
134,,0,
135,,0,
136,,0,
137,,0,
138,,0,
139,,0,
140,,0,
141,Deciduous_Forest,4,Forest
142,Evergreen_Forest,4,Forest
143,Mixed_Forest,4,Forest
144,,0,
145,,0,
146,,0,
147,,0,
148,,0,
149,,0,
150,,0,
151,,0,
152,Shrubland,3,Rangeland
153,,0,
154,,0,
155,,0,
156,,0,
157,,0,
158,,0,
159,,0,
160,,0,
161,,0,
162,,0,
163,,0,
164,,0,
165,,0,
166,,0,
167,,0,
168,,0,
169,,0,
170,,0,
171,,0,
172,,0,
173,,0,
174,,0,
175,,0,
176,Grassland/Pasture,3,Rangeland
177,,0,
178,,0,
179,,0,
180,,0,
181,,0,
182,,0,
183,,0,
184,,0,
185,,0,
186,,0,
187,,0,
188,,0,
189,,0,
190,Woody_Wetlands,6,Wetland
191,,0,
192,,0,
193,,0,
194,,0,
195,Herbaceous_Wetlands,6,Wetland
196,,0,
197,,0,
198,,0,
199,,0,
200,,0,
201,,0,
202,,0,
203,,0,
204,Pistachios,2,Ag
205,Triticale,2,Ag
206,Carrots,2,Ag
207,Asparagus,2,Ag
208,Garlic,2,Ag
209,Cantaloupes,2,Ag
210,Prunes,2,Ag
211,Olives,2,Ag
212,Oranges,2,Ag
213,Honeydew_Melons,2,Ag
214,Broccoli,2,Ag
215,,0,
216,Peppers,2,Ag
217,Pomegranates,2,Ag
218,Nectarines,2,Ag
219,Greens,2,Ag
220,Plums,2,Ag
221,Strawberries,2,Ag
222,Squash,2,Ag
223,Apricots,2,Ag
224,Vetch,2,Ag
225,Dbl_Crop_WinWht/Corn,2,Ag
226,Dbl_Crop_Oats/Corn,2,Ag
227,Lettuce,2,Ag
228,,0,
229,Pumpkins,2,Ag
230,Dbl_Crop_Lettuce/Durum_Wht,2,Ag
231,Dbl_Crop_Lettuce/Cantaloupe,2,Ag
232,Dbl_Crop_Lettuce/Cotton,2,Ag
233,Dbl_Crop_Lettuce/Barley,2,Ag
234,Dbl_Crop_Durum_Wht/Sorghum,2,Ag
235,Dbl_Crop_Barley/Sorghum,2,Ag
236,Dbl_Crop_WinWht/Sorghum,2,Ag
237,Dbl_Crop_Barley/Corn,2,Ag
238,Dbl_Crop_WinWht/Cotton,2,Ag
239,Dbl_Crop_Soybeans/Cotton,2,Ag
240,Dbl_Crop_Soybeans/Oats,2,Ag
241,Dbl_Crop_Corn/Soybeans,2,Ag
242,Blueberries,2,Ag
243,Cabbage,2,Ag
244,Cauliflower,2,Ag
245,Celery,2,Ag
246,Radishes,2,Ag
247,Turnips,2,Ag
248,Eggplants,2,Ag
249,Gourds,2,Ag
250,Cranberries,2,Ag
251,,0,
252,,0,
253,,0,
254,Dbl_Crop_Barley/Soybeans,2,Ag
255,,0,
